CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
41,2021-12-09,2021,REG,14,MIN,0,6,27,0,1,0,0,0,13,5
0,1970-01-01,2021,DNP,15,MIN,0,0,0,0,0,0,0,0,0,0
42,2021-12-26,2021,REG,16,MIN,1,13,41,1,4,3,29,0,47,0
43,2022-01-02,2021,REG,17,MIN,0,0,0,0,5,4,13,0,19,8
44,2022-01-09,2021,REG,18,MIN,0,5,18,0,1,1,3,0,18,5
45,2022-09-11,2022,REG,1,MIN,0,8,36,0,0,0,0,0,14,2
46,2022-09-19,2022,REG,2,MIN,0,2,8,0,5,3,6,0,19,4
47,2022-09-25,2022,REG,3,MIN,0,7,28,1,1,1,16,0,28,5
48,2022-10-02,2022,REG,4,MIN,0,3,3,0,1,1,15,1,27,0
49,2022-10-09,2022,REG,5,MIN,0,9,19,0,4,3,21,0,34,3
50,2022-10-16,2022,REG,6,MIN,0,1,3,0,0,0,0,0,7,0
0,1970-01-01,2022,BYE,7,MIN,0,0,0,0,0,0,0,0,0,0
51,2022-10-30,2022,REG,8,MIN,0,5,40,1,0,0,0,0,17,0
52,2022-11-06,2022,REG,9,MIN,0,2,1,0,1,1,0,0,9,0
53,2022-11-13,2022,REG,10,MIN,0,3,11,0,1,1,8,0,13,0
54,2022-11-20,2022,REG,11,MIN,0,2,0,0,1,1,8,0,16,0
55,2022-11-24,2022,REG,12,MIN,0,3,11,0,0,0,0,0,10,1
56,2022-12-04,2022,REG,13,MIN,0,3,14,1,2,2,4,0,17,7
57,2022-12-11,2022,REG,14,MIN,0,2,-1,0,0,0,0,0,10,7
58,2022-12-17,2022,REG,15,MIN,0,2,1,0,0,0,0,0,13,10
59,2022-12-24,2022,REG,16,MIN,0,4,17,0,0,0,0,0,15,6
60,2023-01-01,2022,REG,17,MIN,0,8,38,0,1,1,7,0,23,2
61,2023-01-08,2022,REG,18,MIN,0,10,54,2,1,1,6,0,25,0
62,2023-01-15,2022,POST,19,MIN,0,0,0,0,1,1,2,0,7,6
63,2023-09-10,2023,REG,1,MIN,1,11,34,0,4,3,10,1,47,0
64,2023-09-14,2023,REG,2,MIN,1,8,28,0,6,3,11,0,44,0
65,2023-09-24,2023,REG,3,MIN,1,20,93,0,7,5,32,0,66,0
66,2023-10-01,2023,REG,4,MIN,1,17,95,0,1,1,3,0,33,0
67,2023-10-08,2023,REG,5,MIN,1,8,26,0,3,2,20,1,37,0
68,2023-10-15,2023,REG,6,MIN,1,18,44,0,7,4,28,0,45,0
69,2023-10-23,2023,REG,7,MIN,1,8,39,0,3,2,3,0,37,0
70,2023-10-29,2023,REG,8,MIN,1,16,31,0,1,1,2,0,44,0
71,2023-11-05,2023,REG,9,MIN,1,16,44,0,2,2,49,1,42,0
72,2023-11-12,2023,REG,10,MIN,1,8,27,0,2,1,6,0,33,0
73,2023-11-19,2023,REG,11,MIN,1,18,81,0,2,1,-1,0,48,0
74,2023-11-27,2023,REG,12,MIN,1,10,52,0,2,2,11,0,31,0
0,1970-01-01,2023,BYE,13,MIN,0,0,0,0,0,0,0,0,0,0
75,2023-12-10,2023,REG,14,MIN,1,10,66,0,1,0,0,0,23,0
0,1970-01-01,2023,DNP,15,MIN,0,0,0,0,0,0,0,0,0,0
76,2023-12-24,2023,REG,16,MIN,0,2,-1,0,0,0,0,0,5,0
77,2023-12-31,2023,REG,17,MIN,0,3,17,0,2,2,13,0,21,0
78,2024-01-07,2023,REG,18,MIN,0,7,24,0,1,1,5,0,23,0
79,2024-09-08,2024,REG,1,LVR,0,5,19,0,6,4,43,1,36,0
80,2024-09-15,2024,REG,2,LVR,0,4,1,1,0,0,0,0,14,2
81,2024-09-22,2024,REG,3,LVR,0,3,7,1,3,3,37,0,28,0
82,2024-09-29,2024,REG,4,LVR,0,5,60,0,1,0,0,0,21,0
83,2024-10-06,2024,REG,5,LVR,1,15,38,0,3,2,23,0,40,0
84,2024-10-13,2024,REG,6,LVR,1,14,33,1,5,5,32,0,43,0
85,2024-10-20,2024,REG,7,LVR,1,23,92,0,3,3,31,0,55,0
86,2024-10-27,2024,REG,8,LVR,1,14,15,0,5,5,29,0,38,0
87,2024-11-03,2024,REG,9,LVR,1,9,36,0,0,0,0,0,24,0
0,1970-01-01,2024,DNP,10,LVR,0,0,0,0,0,0,0,0,0,0
88,2024-11-17,2024,REG,11,LVR,0,5,19,0,3,3,50,0,20,0
0,1970-01-01,2024,DNP,12,LVR,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,13,LVR,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,14,LVR,0,0,0,0,0,0,0,0,0,0
89,2024-12-16,2024,REG,15,LVR,0,7,21,0,4,2,3,0,22,0
90,2024-12-22,2024,REG,16,LVR,1,12,27,1,7,4,29,0,42,0
91,2024-12-29,2024,REG,17,LVR,0,10,32,0,3,1,6,0,24,0
92,2025-01-05,2024,REG,18,LVR,1,6,20,0,5,4,11,0,37,0
