CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2023,DNP,15,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,16,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
26,2023-12-31,2023,REG,17,WAS,1,9,44,0,4,4,32,0,25,54.3,0,0.0
27,2024-01-07,2023,REG,18,WAS,1,9,25,0,3,3,10,1,21,42.9,0,0.0
28,2024-09-08,2024,REG,1,WAS,1,12,40,1,4,3,49,0,33,55.9,0,0.0
29,2024-09-15,2024,REG,2,WAS,1,17,133,0,3,1,3,0,43,59.7,0,0.0
30,2024-09-23,2024,REG,3,WAS,1,16,33,1,1,1,4,0,45,76.3,0,0.0
31,2024-09-29,2024,REG,4,WAS,1,21,101,1,3,3,12,0,45,62.5,0,0.0
32,2024-10-06,2024,REG,5,WAS,1,7,18,2,0,0,0,0,23,34.3,0,0.0
0,,2024,DNP,6,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
33,2024-10-20,2024,REG,7,WAS,0,12,71,1,0,0,0,0,26,37.7,0,0.0
34,2024-10-27,2024,REG,8,WAS,1,16,65,0,1,1,11,0,35,47.3,0,0.0
0,,2024,DNP,9,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,10,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
35,2024-11-14,2024,REG,11,WAS,1,16,63,1,1,1,9,0,35,53.0,0,0.0
36,2024-11-24,2024,REG,12,WAS,1,5,13,0,2,1,11,0,12,17.1,0,0.0
37,2024-12-01,2024,REG,13,WAS,1,16,103,1,1,1,6,0,39,47.0,0,0.0
0,,2024,BYE,14,WAS,0,0,0,0,0,0,0,0,0,0.0,0,0.0
38,2024-12-15,2024,REG,15,WAS,1,21,65,0,3,3,22,0,58,74.4,0,0.0
39,2024-12-22,2024,REG,16,WAS,1,10,24,0,3,2,17,0,43,63.2,0,0.0
40,2024-12-29,2024,REG,17,WAS,1,13,60,0,2,2,9,0,45,54.2,0,0.0
41,2025-01-05,2024,REG,18,WAS,1,5,10,0,1,1,6,0,23,39.7,0,0.0
42,2025-01-12,2024,POST,19,WAS,1,10,16,0,5,4,22,0,37,50.7,0,0.0
43,2025-01-18,2024,POST,20,WAS,1,15,77,2,0,0,0,0,40,53.3,0,0.0
44,2025-01-26,2024,POST,21,WAS,1,11,36,0,0,0,0,0,41,51.9,0,0.0
