CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2024,DNP,4,PIT,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,5,PIT,0,0,0,0,0,0,0,0,0,0.0,0,0.0
38,2024-10-13,2024,REG,6,PIT,0,6,7,0,3,3,11,0,25,37.3,2,8.0
39,2024-10-20,2024,REG,7,PIT,0,12,44,0,3,2,15,0,35,51.5,3,10.3
40,2024-10-28,2024,REG,8,PIT,0,9,46,0,3,2,13,0,26,39.4,6,20.0
0,,2024,BYE,9,PIT,0,0,0,0,0,0,0,0,0,0.0,0,0.0
41,2024-11-10,2024,REG,10,PIT,0,14,66,0,2,2,29,0,35,44.9,6,18.8
42,2024-11-17,2024,REG,11,PIT,0,9,41,0,4,4,27,0,26,33.3,4,13.8
43,2024-11-21,2024,REG,12,PIT,0,11,45,1,4,3,19,0,39,56.5,5,25.0
44,2024-12-01,2024,REG,13,PIT,0,3,9,0,4,4,55,0,25,36.2,6,18.2
45,2024-12-08,2024,REG,14,PIT,0,9,47,0,5,2,25,0,34,52.3,3,10.3
46,2024-12-15,2024,REG,15,PIT,0,4,12,0,2,1,3,0,23,53.5,6,24.0
47,2024-12-21,2024,REG,16,PIT,0,12,48,0,5,5,44,0,40,66.7,7,25.9
48,2024-12-25,2024,REG,17,PIT,0,11,71,0,6,5,41,0,40,53.3,6,24.0
49,2025-01-04,2024,REG,18,PIT,0,6,21,0,1,0,0,0,23,37.7,6,23.1
50,2025-01-11,2024,POST,19,PIT,0,2,6,0,5,4,19,0,25,54.3,5,21.7
