Team,Season,Week,Date,Opp
Seattle Seahawks,1995,13,1995-11-26,New York Jets
Seattle Seahawks,1995,14,1995-12-03,Philadelphia Eagles
Seattle Seahawks,1995,15,1995-12-10,Denver Broncos
Seattle Seahawks,1995,16,1995-12-17,Oakland Raiders
Seattle Seahawks,1995,17,1995-12-24,Kansas City Chiefs
Seattle Seahawks,1996,1,1996-09-01,San Diego Chargers
Seattle Seahawks,1996,2,1996-09-08,Denver Broncos
Seattle Seahawks,1996,3,1996-09-15,Kansas City Chiefs
Seattle Seahawks,1996,4,1996-09-22,Tampa Bay Buccaneers
Seattle Seahawks,1996,5,1996-09-29,Green Bay Packers
Seattle Seahawks,1996,6,1996-10-06,Miami Dolphins
Seattle Seahawks,1996,8,1996-10-17,Kansas City Chiefs
Seattle Seahawks,1996,9,1996-10-27,San Diego Chargers
Seattle Seahawks,1996,10,1996-11-03,Houston Oilers
Seattle Seahawks,1996,11,1996-11-10,Minnesota Vikings
Seattle Seahawks,1996,12,1996-11-17,Detroit Lions
Seattle Seahawks,1996,13,1996-11-24,Oakland Raiders
Seattle Seahawks,1996,14,1996-12-01,Denver Broncos
Seattle Seahawks,1996,15,1996-12-08,Buffalo Bills
Seattle Seahawks,1996,16,1996-12-15,Jacksonville Jaguars
Seattle Seahawks,1996,17,1996-12-22,Oakland Raiders
Seattle Seahawks,1997,1,1997-08-31,New York Jets
Seattle Seahawks,1997,2,1997-09-07,Denver Broncos
Seattle Seahawks,1997,3,1997-09-14,Indianapolis Colts
Seattle Seahawks,1997,4,1997-09-21,San Diego Chargers
Seattle Seahawks,1997,5,1997-09-28,Kansas City Chiefs
Seattle Seahawks,1997,6,1997-10-05,Tennessee Oilers
Seattle Seahawks,1997,8,1997-10-19,St. Louis Rams
Seattle Seahawks,1997,9,1997-10-26,Oakland Raiders
Seattle Seahawks,1997,10,1997-11-02,Denver Broncos
Seattle Seahawks,1997,11,1997-11-09,San Diego Chargers
Seattle Seahawks,1997,12,1997-11-16,New Orleans Saints
Seattle Seahawks,1997,13,1997-11-23,Kansas City Chiefs
Seattle Seahawks,1997,14,1997-11-30,Atlanta Falcons
Seattle Seahawks,1997,15,1997-12-07,Baltimore Ravens
Seattle Seahawks,1997,16,1997-12-14,Oakland Raiders
Seattle Seahawks,1997,17,1997-12-21,San Francisco 49ers
Seattle Seahawks,1998,1,1998-09-06,Philadelphia Eagles
Seattle Seahawks,1998,2,1998-09-13,Arizona Cardinals
Seattle Seahawks,1998,3,1998-09-20,Washington Redskins
Seattle Seahawks,1998,4,1998-09-27,Pittsburgh Steelers
Seattle Seahawks,1998,5,1998-10-04,Kansas City Chiefs
Seattle Seahawks,1998,6,1998-10-11,Denver Broncos
Seattle Seahawks,1998,8,1998-10-25,San Diego Chargers
Seattle Seahawks,1998,9,1998-11-01,Oakland Raiders
Seattle Seahawks,1998,10,1998-11-08,Kansas City Chiefs
Seattle Seahawks,1998,11,1998-11-15,Oakland Raiders
Seattle Seahawks,1998,12,1998-11-22,Dallas Cowboys
Seattle Seahawks,1998,13,1998-11-29,Tennessee Oilers
Seattle Seahawks,1998,14,1998-12-06,New York Jets
Seattle Seahawks,1998,15,1998-12-13,San Diego Chargers
Seattle Seahawks,1998,16,1998-12-20,Indianapolis Colts
Seattle Seahawks,1998,17,1998-12-27,Denver Broncos
Seattle Seahawks,1999,1,1999-09-12,Detroit Lions
Seattle Seahawks,1999,2,1999-09-19,Chicago Bears
Seattle Seahawks,1999,3,1999-09-26,Pittsburgh Steelers
Seattle Seahawks,1999,4,1999-10-03,Oakland Raiders
Seattle Seahawks,1999,6,1999-10-17,San Diego Chargers
Seattle Seahawks,1999,7,1999-10-24,Buffalo Bills
Seattle Seahawks,1999,8,1999-11-01,Green Bay Packers
Seattle Seahawks,1999,9,1999-11-07,Cincinnati Bengals
Seattle Seahawks,1999,10,1999-11-14,Denver Broncos
Seattle Seahawks,1999,11,1999-11-21,Kansas City Chiefs
Seattle Seahawks,1999,12,1999-11-28,Tampa Bay Buccaneers
