Season,Week,Player,Team,Position,Injuries,Game Status
2017,11,Mike Tolbert,BUF,RB,Hamstring,Out
2017,13,Alex Collins,BAL,RB,Calf,Questionable
2017,13,Mike Tolbert,BUF,RB,Hamstring,Out
2017,14,Joe Mixon,CIN,RB,Concussion,Out
2017,14,Damien Williams,MIA,RB,Shoulder,Out
2017,14,Orleans Darkwa,NYG,RB,Illness,Questionable
2017,16,Elijah McGuire,NYJ,RB,Illness,Questionable
2017,16,Samaje Perine,WAS,RB,Groin,Questionable
2017,17,DeMarco Murray,TEN,RB,Knee,Out
2018,2,Devonta Freeman,ATL,RB,Knee,Out
2018,3,Darren Sproles,PHI,RB,Hamstring,Out
2018,4,David Fluellen,TEN,RB,Groin,Out
2018,5,Darren Sproles,PHI,RB,Hamstring,Out
2018,6,Adrian Peterson,WAS,RB,"Ankle, Shoulder, Knee",Questionable
2018,6,Chris Thompson,WAS,RB,"Rib, Knee",Questionable
2018,7,Theo Riddick,DET,RB,Knee,Out
2018,8,Taiwan Jones,BUF,RB,Neck,Out
2018,9,Roc Thomas,MIN,RB,Hamstring,Out
2018,10,Ronald Jones,TAM,RB,Hamstring,Out
2018,13,Alex Collins,BAL,RB,Foot,Questionable
2018,15,Spencer Ware,KAN,RB,"Shoulder, Hamstring",Doubtful
2018,16,Spencer Ware,KAN,RB,Hamstring,Doubtful
2018,16,Justin Davis,LAR,RB,Shoulder,Questionable
2018,16,Todd Gurley,LAR,RB,Knee,Questionable
2019,1,Trayveon Williams,CIN,RB,Foot,Out
2019,1,Jordan Wilkins,IND,RB,Ankle,Questionable
2019,2,Le'Veon Bell,NYJ,RB,Shoulder,Questionable
2019,3,Jonathan Williams,IND,RB,Rib,Questionable
2019,3,LeSean McCoy,KAN,RB,Ankle,Questionable
2019,4,Rashaad Penny,SEA,RB,Hamstring,Questionable
2019,6,Todd Gurley,LAR,RB,Quadricep,Doubtful
2019,6,Kyle Juszczyk,SFO,RB,Knee,Out
2019,8,D.J. Foster,ARI,RB,Hamstring,Out
2019,8,Derek Watt,LAC,RB,Knee,Questionable
2019,9,David Johnson,ARI,RB,Ankle,Questionable
2019,10,Chase Edmonds,ARI,RB,Hamstring,Out
2019,11,Chase Edmonds,ARI,RB,Hamstring,Out
2019,11,Jordan Howard,PHI,RB,Shoulder,Questionable
2019,11,Roosevelt Nix,PIT,RB,Knee,Out
2019,12,Jordan Howard,PHI,RB,Shoulder,Questionable
2019,15,Bilal Powell,NYJ,RB,"Ankle, Illness",Out
2019,17,Kenneth Dixon,NYJ,RB,Illness,Questionable
2020,4,Raheem Mostert,SFO,RB,Knee,Out
2020,4,Leonard Fournette,TAM,RB,Ankle,Out
2020,7,Miles Sanders,PHI,RB,Knee,Out
2020,8,Carlos Hyde,SEA,RB,Hamstring,Doubtful
2020,9,Phillip Lindsay,DEN,RB,Foot,Questionable
2020,16,Phillip Lindsay,DEN,RB,"Hip, Knee",Out
2020,17,Elijhaa Penny,NYG,RB,Illness,Out
2020,17,LeSean McCoy,TAM,RB,Not Injury Related,Questionable
2021,1,La'Mical Perine,NYJ,RB,Foot,Questionable
2021,2,Rashaad Penny,SEA,RB,Calf,Doubtful
2021,3,Josh Jacobs,LVR,RB,Ankle,Doubtful
2021,5,Chase Edmonds,ARI,RB,Shoulder,Questionable
2021,6,Rex Burkhead,HOU,RB,"Hip, Knee",Questionable
2021,8,Johnny Stanton,CLE,FB,Calf,Questionable
2021,9,Latavius Murray,BAL,RB,Ankle,Doubtful
2021,9,Chris Evans,CIN,RB,Hamstring,Questionable
2021,10,Chase Edmonds,ARI,RB,Ankle,Out
2021,12,Michael Carter,NYJ,RB,Ankle,Out
2021,12,Jamycal Hasty,SFO,RB,Ankle,Out
2021,13,Trey Sermon,SFO,RB,Ankle,Out
2021,14,Patrick Ricard,BAL,FB,Back,Questionable
2021,15,Javonte Williams,DEN,RB,Knee,Questionable
