Date,Team,Acq,Rel,Notes,Acquired,Relinquished
12/12/1995,Bengals,,• Darnay Scott,"fined $5,000 by NFL for fighting",#VALUE!,Darnay Scott
12/12/1995,Jaguars,,• Vinnie Clark,"fined $5,000 by NFL for fighting",#VALUE!,Vinnie Clark
7/19/1996,Cardinals,• Chuck Levy,,reinstated from suspension,Chuck Levy,#VALUE!
7/23/1996,Colts,,• Roosevelt Potts,suspended by NFL for 4 games for violating the league's substance abuse program,#VALUE!,Roosevelt Potts
7/30/1996,Packers,,• Ronald Davis / Ron Davis,suspended by NFL indefinitely,#VALUE!,Ronald Davis / Ron Davis
8/20/1996,Colts,,• Roosevelt Potts,Entire 1996 season,#VALUE!,Roosevelt Potts
8/20/1996,Ravens,,• Larry Webster Jr.,suspended by NFL for 1996 season for violating the league's substance abuse policy,#VALUE!,Larry Webster Jr.
8/25/1996,Cowboys,,• Michael Irvin,suspended indefinitely by NFL,#VALUE!,Michael Irvin
8/25/1996,Cowboys,,• Shante Carver,suspended by NFL indefinitely,#VALUE!,Shante Carver
9/23/1996,Falcons,,• Jeff George (Scott),suspended,#VALUE!,Jeff George (Scott)
9/26/1996,Ravens,,• Byron Morris / Bam Morris,suspended by NFL indefinitely,#VALUE!,Byron Morris / Bam Morris
9/26/1996,Ravens,,• Byron Morris / Bam Morris,placed on reserve/suspended list,#VALUE!,Byron Morris / Bam Morris
9/30/1996,Oilers,• Torey Hunter,,reinstated from suspension,Torey Hunter,#VALUE!
10/1/1996,Cowboys,• Michael Irvin,,reinstated from suspension,Michael Irvin,#VALUE!
10/4/1996,Saints,,• Darren Mickell,suspended by NFL for 4 games for violating the NFL's substance abuse policy,#VALUE!,Darren Mickell
10/4/1996,Saints,,• Ray Zellars,suspended by team for 1 games for conduct detrimental to the team,#VALUE!,Ray Zellars
10/7/1996,Saints,• Ray Zellars,,reinstated from suspension,Ray Zellars,#VALUE!
10/7/1996,Rams,• Jesse James (b. 1971-09-16),,reinstated from suspension,Jesse James (b. 1971-09-16),#VALUE!
10/8/1996,Ravens,• Byron Morris / Bam Morris,,reinstated from suspension,Byron Morris / Bam Morris,#VALUE!
10/14/1996,Cowboys,• Shante Carver,,reinstated from suspension,Shante Carver,#VALUE!
10/22/1996,Falcons,• Jeff George (Scott),,reinstated from suspension,Jeff George (Scott),#VALUE!
10/31/1996,Panthers,,• Curtis Whitley,suspended indefinitely,#VALUE!,Curtis Whitley
11/4/1996,Saints,• Darren Mickell,,reinstated from suspension,Darren Mickell,#VALUE!
11/5/1996,Saints,,• Renaldo Turnbull,suspended by team,#VALUE!,Renaldo Turnbull
11/11/1996,Saints,• Renaldo Turnbull,,reinstated from suspension,Renaldo Turnbull,#VALUE!
11/22/1996,Cowboys,,• Alundis Brice,"fined $5,000 by NFL for fighting",#VALUE!,Alundis Brice
11/22/1996,Cowboys,,• Charlie Williams (U.),"fined $5,000 by NFL for fighting",#VALUE!,Charlie Williams (U.)
11/22/1996,Cowboys,,• George Teague,"fined $4,000 by NFL for unnecessarily entering scene of fight",#VALUE!,George Teague
11/22/1996,Cowboys,,• Herschel Walker,"fined $4,000 by NFL for unnecessarily entering scene of fight",#VALUE!,Herschel Walker
11/22/1996,Cowboys,,• Kavika Pittman,"fined $5,000 by NFL for fighting",#VALUE!,Kavika Pittman
11/22/1996,Cowboys,,• Randall Godfrey,"fined $4,000 by NFL for unnecessarily entering scene of fight",#VALUE!,Randall Godfrey
11/22/1996,Cowboys,,• Sherman Williams,"fined $4,000 by NFL for unnecessarily entering scene of fight",#VALUE!,Sherman Williams
11/22/1996,Packers,,• Brian Williams (M.),"fined $5,000 by NFL for fighting",#VALUE!,Brian Williams (M.)
11/22/1996,Packers,,• Michael Robinson / Mike Robinson,"fined $5,000 by NFL for fighting",#VALUE!,Michael Robinson / Mike Robinson
11/22/1996,Packers,,• Roderick Mullen / Rod Mullen,"fined $5,000 by NFL for fighting",#VALUE!,Roderick Mullen / Rod Mullen
11/22/1996,Packers,,• Terry Mickens,"fined $5,000 by NFL for fighting",#VALUE!,Terry Mickens
11/22/1996,Packers,,• William Henderson,"fined $5,000 by NFL for fighting",#VALUE!,William Henderson
11/25/1996,Cowboys,,• Leon Lett,suspended by NFL for 1 year for violating the league's substance abuse policy,#VALUE!,Leon Lett
11/25/1996,Panthers,• Curtis Whitley,,reinstated from suspension,Curtis Whitley,#VALUE!
12/4/1996,Cowboys,,• Leon Lett,placed on reserve/indefinite suspension,#VALUE!,Leon Lett
12/6/1996,Bengals,,• Jeff Cothran,1 games,#VALUE!,Jeff Cothran
12/9/1996,Bengals,• Jeff Cothran,,reinstated from suspension,Jeff Cothran,#VALUE!
12/10/1996,Eagles,,• Kevin Johnson (Lamar),suspended,#VALUE!,Kevin Johnson (Lamar)
12/16/1996,Eagles,• Kevin Johnson (Lamar),,reinstated from suspension,Kevin Johnson (Lamar),#VALUE!
12/17/1996,Falcons,,• Chuck Smith (Henry),suspended,#VALUE!,Chuck Smith (Henry)
7/14/1997,Ravens,• Larry Webster Jr.,,reinstated from suspension,Larry Webster Jr.,#VALUE!
7/15/1997,Colts,• Roosevelt Potts,,reinstated from suspension,Roosevelt Potts,#VALUE!
7/19/1997,Oilers,,• Kendrick Burton,suspended by NFL for 1997 season for violation of league's drug policy,#VALUE!,Kendrick Burton
8/7/1997,Cowboys,,• Barry Switzer,"fined as head coach $75,000 by team for his arrest on gun charge",#VALUE!,Barry Switzer
8/19/1997,Vikings,,• Artie Ulmer,suspended by NFL for 4 games,#VALUE!,Artie Ulmer
8/24/1997,Dolphins,,• Clayton Holmes,suspended by NFL for 4 games for violation of the league's drug and alcohol abuse policy,#VALUE!,Clayton Holmes
8/24/1997,Panthers,,• Shawn King,placed on reserve/suspended list,#VALUE!,Shawn King
